,brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
129,Ford,F-350,1987,"$9,500",na,na,Used,Pickup Truck,Rear-wheel drive (RWD),Automatic,Diesel,"390,000",na,na
130,Chevrolet,Other,2012,"$23,488",White,G3500 - 12Ft Box - Ramp - V8 Gas,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"243,000",na,"80 Toro Road, Toronto, ON, M3J 2A8"
131,Nissan,Rogue,2016,"$17,895",White,S AWD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"140,781",https://www.carproof.com/order?ref=kijiji&vin=5N1AT2MV2GC816774,"4614 Kingston Rd, Scarborough, ON, M1E 2P4"
132,Ford,Other,2018,"$35,988",Other,E-350 14Ft Box - 6.2L V8 Gas - Side Door,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"163,000",na,na
133,Nissan,Other,2021,"$29,399",White,SR,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"14,265",na,na
134,Hyundai,Kona,2020,"$27,950",Grey,Luxury | Sunroof | Leather | Carplay,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"45,189",na,"1515 Upper James Street, Hamilton, ON, L9B 1K2"
135,Chevrolet,Equinox,2016,"$13,680",Black,FWD 4dr LT,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Other,"200,675",https://www.carproof.com/order?ref=kijiji&vin=2GNALCEK4G1138525,na
136,Lexus,Other,2019,"$34,590",White,"300 Premium AWD w/ Ventilated& Heated Front Seats, Moonroof",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"75,557",na,na
137,Infiniti,G35x,2005,"$7,000",Blue,Luxury,Used,Sedan,na,Automatic,Gasoline,"200,000",https://www.carproof.com/order?ref=kijiji&vin=JNKCV51F65M305760,"Pickering, ON, L1V, CA"
138,BMW,Z4,2006,"$18,500",na,na,Used,Coupe (2 door),na,na,na,"117,000",na,"2135 Victoria Park Ave, Scarborough, ON M1R 4B7"
139,Ford,Mustang,2004,"$25,000",na,na,Used,Convertible,Rear-wheel drive (RWD),Manual,na,"83,000",na,na
140,Infiniti,EX35,2012,"$12,900",White,TOURING,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"1,280,000",na,"Scarborough, ON M1E 2M7"
141,Ford,Other,2017,"$42,488",White,E-450 - 16Ft Box + Ramp - ALL SERVICE RECORDS,Used,"Minivan, Van",Rear-wheel drive (RWD),na,Gasoline,"135,000",na,"80 Toro Road, Toronto, ON, M3J 2A8"
142,Mercedes-Benz,C-Class,2013,"$15,895",White,C350 4MATIC Sport Sedan,Used,Sedan,4 x 4,Automatic,Other,"130,603",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8JB3DA766743,na
