,brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
453,Tesla,Other,2022,"$1,499",Black,na,Used,Sedan,All-wheel drive (AWD),Automatic,Electric,"1,234",na,"Consilium Place, Scarborough, ON"
454,Hyundai,Tucson,2018,"$24,485",Grey,SE,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Other,"43,427",https://www.carproof.com/order?ref=kijiji&vin=KM8J33A46JU755464,na
455,Nissan,Rogue,2010,"$8,499",Silver,*** 3 YEAR WARRANTY INCLUDED ***,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"189,590",https://www.carproof.com/order?ref=kijiji&vin=jn8as5mt9aw012506,"85B Kincort Street, Toronto, ON, M6M 3E4"
456,Subaru,Other,2016,"$19,950",Grey,Other,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"179,242",na,na
457,GMC,Acadia,2017,"$19,250",Black,SLE-2,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"195,186",https://www.carproof.com/order?ref=kijiji&vin=1GKKNSLS6HZ316954,na
458,Cadillac,XT5,2017,"$19,950",White,Premium Luxury AWD  one owner,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"230,349",https://www.carproof.com/order?ref=kijiji&vin=1GYKNERS9HZ104676,na
459,Mercedes-Benz,C-Class,2015,"$19,450",Grey,C 300,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"188,808",https://www.carproof.com/order?ref=kijiji&vin=55SWF4KB4FU005497,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
460,Audi,A3,2016,"$16,950",White,2.0T Komfort,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"157,384",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
461,Toyota,Camry,2018,"$24,450",White,Other,Used,Sedan,Front-wheel drive (FWD),Automatic,Hybrid-Electric,"219,231",https://www.carproof.com/order?ref=kijiji&vin=4T1B31HK7JU504725,na
462,BMW,4-Series,2015,"$20,999",White,428i xDrive,Used,Hatchback,All-wheel drive (AWD),Automatic,Gasoline,"149,011",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
463,Honda,Civic,2016,"$15,950",Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"202,508",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
464,Infiniti,QX60,2015,"$17,350",Grey,Other,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"148,074",https://www.carproof.com/order?ref=kijiji&vin=5N1AL0MM4FC559093,na
465,Acura,MDX,2016,"$24,950",Black,AWD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"164,361",https://www.carproof.com/order?ref=kijiji&vin=5FRYD4H23GB506212,na
466,Jaguar,F-Pace,2017,"$29,950",Black,35t Prestige,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"159,002",https://www.carproof.com/order?ref=kijiji&vin=SADCK2BV9HA888088,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
467,Cadillac,Eldorado,1999,"$18,900",White,RARE-RED TOP-CONVERTIBLE **PALM BEACH EDITION**,Used,Coupe (2 door),Other,Automatic,Gasoline,"126,000",https://www.carproof.com/order?ref=kijiji&vin=1G6ET1292XU604864,"301 Weston Road, Toronto, ON, M6N 3P1"
468,BMW,X5,2009,"$10,495",Grey,AWD 30i LOW KM| PANO ROOF| We Finance Any Credit,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"136,392",https://www.carproof.com/order?ref=kijiji&vin=5UXFE435X9L275426,na
469,Jeep,Patriot,2010,"$5,500",Silver,SE,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"199,000",na,"Scarborough, ON M1E 2M7"
470,Ford,Edge,2007,"$4,000",Orange,*** BLOWOUT SALE ***,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"238,207",https://www.carproof.com/order?ref=kijiji&vin=2fmdk49c77ba81227,na
471,Mercedes-Benz,M-Class,2010,"$11,999",Blue,ML350 BLUETEC- LOW KMS-GREAT SHAPE-CERTIFIED,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Diesel,"150,000",https://www.carproof.com/order?ref=kijiji&vin=4JGBB2FB0AA572247,"825 Kipling Avenue, Toronto, ON, M8Z 5G8"
472,GMC,Sierra 1500,2015,"$23,975",White,"SLT,4X4,NAV,SUNROOF CREWCAB",Used,Pickup Truck,4 x 4,Automatic,Gasoline,"251,881",https://www.carproof.com/order?ref=kijiji&vin=3GTU2VEC5FG299307,na
473,Toyota,Matrix,2010,"$3,000",White,Yes,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"320,000",na,na
474,Ford,Escape,2010,"$5,399",na,na,Used,"SUV, Crossover",na,na,na,"175,000",na,"2625 Keele St, North York, ON M6L 2P2"
475,Lexus,RX,2021,"$61,000",na,RX 450h,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Hybrid-Electric,"10,000",https://www.carproof.com/order?ref=kijiji&vin=2T2JGMDA1MC061102,"Toronto, ON M6N"
476,Nissan,Rogue,2015,"$17,590",Blue,"SL AWD w/ SL Premium Package, Navi, Bose Audio",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"130,621",na,na
477,Honda,CR-V,2018,"$26,500",Grey,LX,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"93,039",na,na
478,BMW,3-Series,2016,"$18,990",Silver,328d xDrive | NAV | LEATHER | SUNROOF | CAMERA |,Used,Sedan,All-wheel drive (AWD),Automatic,Diesel,"165,057",https://www.carproof.com/order?ref=kijiji&vin=WBA8F1C53GK438957,na
479,Hyundai,Elantra,2017,"$16,990",White,GL AUT0 A/C H/SEATS CRUISE BLUETOOTH,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"97,718",https://www.carproof.com/order?ref=kijiji&vin=5NPD74LF5HH132836,"1235 Finch Ave. W., Toronto, ON, M3J 2G4"
480,MINI,Other,2012,"$6,498",White,READ AD SERVICE HISTRY | 6 SPD MANUAL | COUPE | LTHR | SUNRF,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,Other,"129,216",https://www.carproof.com/order?ref=kijiji&vin=WMWSU3C55CT368745,"4308 Kingston Rd Unit #2, Toronto, ON, M1E 2M8"
481,Dodge,Journey,2009,"$5,000",Silver,SXT,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"196,000",na,na
482,BMW,5-Series,2006,"$3,700",Blue,530xi,Used,Sedan,All-wheel drive (AWD),Other,Gasoline,"230,752",https://www.carproof.com/order?ref=kijiji&vin=WBANF73506CG68862,na
483,Ford,Other,2017,"$41,998",White,E-450 - 16Ft - Gasoline - Pull Out Ramp,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"140,000",na,na
484,Honda,CR-V,2007,"$6,900",na,na,Used,"SUV, Crossover",na,na,na,"291,000",na,na
485,Honda,Pilot,2016,"$26,995",Black,4WD 4dr EX-L w/RES,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"122,610",https://www.carproof.com/order?ref=kijiji&vin=5FNYF6H84GB502441,na
486,Mercedes-Benz,GLA,2015,"$19,995",Black,GLA 250 SUV,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"173,560",na,"557 Kingston Road, Pickering, ON, L1V 3N7"
487,Toyota,Corolla,2023,"$25,555",Black,LE CVT,New,Sedan,Front-wheel drive (FWD),Automatic,Other,na,na,"557 Kingston Road, Pickering, ON, L1V 3N7"
488,Hyundai,Sonata,2018,"$22,990",Silver,"GLS w/ CarPlay & Android Auto, Heated Seats",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"66,904",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
489,Tesla,Other,2022,"$1,499",Black,na,Used,Sedan,All-wheel drive (AWD),Automatic,Electric,"1,234",na,na
490,Hyundai,Tucson,2018,"$24,485",Grey,SE,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Other,"43,427",https://www.carproof.com/order?ref=kijiji&vin=KM8J33A46JU755464,"4614 Kingston Rd, Scarborough, ON, M1E 2P4"
491,Nissan,Rogue,2010,"$8,499",Silver,*** 3 YEAR WARRANTY INCLUDED ***,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"189,590",https://www.carproof.com/order?ref=kijiji&vin=jn8as5mt9aw012506,"85B Kincort Street, Toronto, ON, M6M 3E4"
492,Subaru,Other,2016,"$19,950",Grey,Other,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"179,242",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
493,GMC,Acadia,2017,"$19,250",Black,SLE-2,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"195,186",https://www.carproof.com/order?ref=kijiji&vin=1GKKNSLS6HZ316954,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
494,Cadillac,XT5,2017,"$19,950",White,Premium Luxury AWD  one owner,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"230,349",https://www.carproof.com/order?ref=kijiji&vin=1GYKNERS9HZ104676,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
495,Mercedes-Benz,C-Class,2015,"$19,450",Grey,C 300,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"188,808",https://www.carproof.com/order?ref=kijiji&vin=55SWF4KB4FU005497,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
496,Audi,A3,2016,"$16,950",White,2.0T Komfort,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"157,384",na,na
497,Toyota,Camry,2018,"$24,450",White,Other,Used,Sedan,Front-wheel drive (FWD),Automatic,Hybrid-Electric,"219,231",https://www.carproof.com/order?ref=kijiji&vin=4T1B31HK7JU504725,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
498,BMW,4-Series,2015,"$20,999",White,428i xDrive,Used,Hatchback,All-wheel drive (AWD),Automatic,Gasoline,"149,011",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
499,Honda,Civic,2016,"$15,950",Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"202,508",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
500,Infiniti,QX60,2015,"$17,350",Grey,Other,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"148,074",https://www.carproof.com/order?ref=kijiji&vin=5N1AL0MM4FC559093,na
501,Acura,MDX,2016,"$24,950",Black,AWD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"164,361",https://www.carproof.com/order?ref=kijiji&vin=5FRYD4H23GB506212,na
502,Jaguar,F-Pace,2017,"$29,950",Black,35t Prestige,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"159,002",https://www.carproof.com/order?ref=kijiji&vin=SADCK2BV9HA888088,na
503,Cadillac,Eldorado,1999,"$18,900",White,RARE-RED TOP-CONVERTIBLE **PALM BEACH EDITION**,Used,Coupe (2 door),Other,Automatic,Gasoline,"126,000",https://www.carproof.com/order?ref=kijiji&vin=1G6ET1292XU604864,na
504,BMW,X5,2009,"$10,495",Grey,AWD 30i LOW KM| PANO ROOF| We Finance Any Credit,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"136,392",https://www.carproof.com/order?ref=kijiji&vin=5UXFE435X9L275426,"4 Vanley Cres., North York, ON, M3J 2B8"
505,Jeep,Patriot,2010,"$5,500",Silver,SE,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"199,000",na,na
506,Infiniti,QX60,2014,"$27,888",White,HYBRID AWD PREMIUM THECHNOLOGY PKG.,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Hybrid-Electric,"110,556",https://www.carproof.com/order?ref=kijiji&vin=5N1CL0MM2EC519909,"4490 Chesswood Drive, Unit 1, North York, ON, M3J 2B9"
507,Honda,Civic,2010,"$6,998",Silver,DX-G | WELL MAINTAINED | ALLOYS | GAS SAVER | AUX | USB,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"179,132",https://www.carproof.com/order?ref=kijiji&vin=2HGFA1F48AH026108,na
508,Dodge,Grand Caravan,2010,"$8,995",Silver,SE STOW-N-GO SPORT ALLOYS PWR SEAT...VERY NICE,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"210,000",https://www.carproof.com/order?ref=kijiji&vin=2D4RN4DE4AR184696,"1830 Lawrence Avenue East, Toronto, ON, M1R 2Y2"
509,Dodge,Journey,2009,"$5,000",Silver,SXT,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"196,000",na,na
510,BMW,5-Series,2006,"$3,700",Blue,530xi,Used,Sedan,All-wheel drive (AWD),Other,Gasoline,"230,752",https://www.carproof.com/order?ref=kijiji&vin=WBANF73506CG68862,na
511,Ford,Other,2017,"$41,998",White,E-450 - 16Ft - Gasoline - Pull Out Ramp,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"140,000",na,"80 Toro Road, Toronto, ON, M3J 2A8"
512,Honda,CR-V,2007,"$6,900",na,na,Used,"SUV, Crossover",na,na,na,"291,000",na,na
513,Honda,Pilot,2016,"$26,995",Black,4WD 4dr EX-L w/RES,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"122,610",https://www.carproof.com/order?ref=kijiji&vin=5FNYF6H84GB502441,na
514,Mercedes-Benz,GLA,2015,"$19,995",Black,GLA 250 SUV,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"173,560",na,na
515,Toyota,Corolla,2023,"$25,555",Black,LE CVT,New,Sedan,Front-wheel drive (FWD),Automatic,Other,na,na,"557 Kingston Road, Pickering, ON, L1V 3N7"
516,Hyundai,Sonata,2018,"$22,990",Silver,"GLS w/ CarPlay & Android Auto, Heated Seats",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"66,904",na,na
517,Tesla,Other,2022,"$1,499",Black,na,Used,Sedan,All-wheel drive (AWD),Automatic,Electric,"1,234",na,"Consilium Place, Scarborough, ON"
518,Hyundai,Tucson,2018,"$24,485",Grey,SE,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Other,"43,427",https://www.carproof.com/order?ref=kijiji&vin=KM8J33A46JU755464,na
519,Nissan,Rogue,2010,"$8,499",Silver,*** 3 YEAR WARRANTY INCLUDED ***,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"189,590",https://www.carproof.com/order?ref=kijiji&vin=jn8as5mt9aw012506,na
520,Subaru,Other,2016,"$19,950",Grey,Other,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"179,242",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
521,GMC,Acadia,2017,"$19,250",Black,SLE-2,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"195,186",https://www.carproof.com/order?ref=kijiji&vin=1GKKNSLS6HZ316954,na
522,Cadillac,XT5,2017,"$19,950",White,Premium Luxury AWD  one owner,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"230,349",https://www.carproof.com/order?ref=kijiji&vin=1GYKNERS9HZ104676,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
523,Mercedes-Benz,C-Class,2015,"$19,450",Grey,C 300,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"188,808",https://www.carproof.com/order?ref=kijiji&vin=55SWF4KB4FU005497,na
524,Audi,A3,2016,"$16,950",White,2.0T Komfort,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"157,384",na,na
525,Toyota,Camry,2018,"$24,450",White,Other,Used,Sedan,Front-wheel drive (FWD),Automatic,Hybrid-Electric,"219,231",https://www.carproof.com/order?ref=kijiji&vin=4T1B31HK7JU504725,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
526,BMW,4-Series,2015,"$20,999",White,428i xDrive,Used,Hatchback,All-wheel drive (AWD),Automatic,Gasoline,"149,011",na,na
527,Honda,Civic,2016,"$15,950",Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"202,508",na,na
528,Infiniti,QX60,2015,"$17,350",Grey,Other,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"148,074",https://www.carproof.com/order?ref=kijiji&vin=5N1AL0MM4FC559093,na
529,Acura,MDX,2016,"$24,950",Black,AWD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"164,361",https://www.carproof.com/order?ref=kijiji&vin=5FRYD4H23GB506212,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
530,Jaguar,F-Pace,2017,"$29,950",Black,35t Prestige,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"159,002",https://www.carproof.com/order?ref=kijiji&vin=SADCK2BV9HA888088,na
531,Cadillac,Eldorado,1999,"$18,900",White,RARE-RED TOP-CONVERTIBLE **PALM BEACH EDITION**,Used,Coupe (2 door),Other,Automatic,Gasoline,"126,000",https://www.carproof.com/order?ref=kijiji&vin=1G6ET1292XU604864,na
532,BMW,X5,2009,"$10,495",Grey,AWD 30i LOW KM| PANO ROOF| We Finance Any Credit,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"136,392",https://www.carproof.com/order?ref=kijiji&vin=5UXFE435X9L275426,na
533,Toyota,RAV4,2020,"$32,998",Grey,AWD LE | ONE OWNER | BACKUP CAM | WINTER TIRES | DASHCAM,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"60,700",https://www.carproof.com/order?ref=kijiji&vin=2T3B1RFV9LC096919,"4308 Kingston Rd Unit #2, Toronto, ON, M1E 2M8"
534,Hyundai,Kona,2021,"$29,495",Grey,SEL,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"71,757",na,na
535,Toyota,Corolla,2018,"$24,980",Black,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"53,521",https://www.carproof.com/order?ref=kijiji&vin=2T1BURHE7JC073794,na
536,BMW,X1,2017,"$24,990",Black,SPORT+NAVI PKG LEATHER PANO/ROOF CAMERA,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"121,128",na,na
537,Volkswagen,Jetta,2019,"$20,885",White,1.4 TSI Comfortline,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"92,184",na,"2595 St Clair Ave W,, Toronto, ON, M6N 4Z5"
538,Ford,F-150,2018,"$33,900",Black,XLT,Used,Other,4 x 4,na,Gasoline,"125,852",na,"2595 St Clair Ave W,, Toronto, ON, M6N 4Z5"
539,Dodge,Challenger,2019,"$34,777",Black,SXT-AWD-BACK UP CAMERA-BLUETOOTH-FINANCING AVAIL,Used,Coupe (2 door),All-wheel drive (AWD),Automatic,Gasoline,"90,000",https://www.carproof.com/order?ref=kijiji&vin=2C3CDZGG8KH642879,na
540,Dodge,Grand Caravan,2015,"$16,590",Grey,"Canada Value Package w/ A/C, Cruise Control",Used,Other,Front-wheel drive (FWD),Automatic,Other,"106,599",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
541,Dodge,Journey,2009,"$5,000",Silver,SXT,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"196,000",na,"Toronto, ON M2N"
542,BMW,5-Series,2006,"$3,700",Blue,530xi,Used,Sedan,All-wheel drive (AWD),Other,Gasoline,"230,752",https://www.carproof.com/order?ref=kijiji&vin=WBANF73506CG68862,"North York, ON M3H"
543,Ford,Other,2017,"$41,998",White,E-450 - 16Ft - Gasoline - Pull Out Ramp,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"140,000",na,"80 Toro Road, Toronto, ON, M3J 2A8"
544,Honda,CR-V,2007,"$6,900",na,na,Used,"SUV, Crossover",na,na,na,"291,000",na,na
545,Honda,Pilot,2016,"$26,995",Black,4WD 4dr EX-L w/RES,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"122,610",https://www.carproof.com/order?ref=kijiji&vin=5FNYF6H84GB502441,"4614 Kingston Rd, Scarborough, ON, M1E 2P4"
546,Mercedes-Benz,GLA,2015,"$19,995",Black,GLA 250 SUV,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"173,560",na,"557 Kingston Road, Pickering, ON, L1V 3N7"
547,Toyota,Corolla,2023,"$25,555",Black,LE CVT,New,Sedan,Front-wheel drive (FWD),Automatic,Other,na,na,"557 Kingston Road, Pickering, ON, L1V 3N7"
548,Hyundai,Sonata,2018,"$22,990",Silver,"GLS w/ CarPlay & Android Auto, Heated Seats",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"66,904",na,"Please Contact for Appointment, Etobicoke, ON, M8Z5S8"
549,Tesla,Other,2022,"$1,499",Black,na,Used,Sedan,All-wheel drive (AWD),Automatic,Electric,"1,234",na,"Consilium Place, Scarborough, ON"
550,Hyundai,Tucson,2018,"$24,485",Grey,SE,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Other,"43,427",https://www.carproof.com/order?ref=kijiji&vin=KM8J33A46JU755464,na
551,Nissan,Rogue,2010,"$8,499",Silver,*** 3 YEAR WARRANTY INCLUDED ***,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"189,590",https://www.carproof.com/order?ref=kijiji&vin=jn8as5mt9aw012506,"85B Kincort Street, Toronto, ON, M6M 3E4"
552,Subaru,Other,2016,"$19,950",Grey,Other,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"179,242",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
553,GMC,Acadia,2017,"$19,250",Black,SLE-2,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"195,186",https://www.carproof.com/order?ref=kijiji&vin=1GKKNSLS6HZ316954,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
554,Cadillac,XT5,2017,"$19,950",White,Premium Luxury AWD  one owner,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"230,349",https://www.carproof.com/order?ref=kijiji&vin=1GYKNERS9HZ104676,na
555,Mercedes-Benz,C-Class,2015,"$19,450",Grey,C 300,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"188,808",https://www.carproof.com/order?ref=kijiji&vin=55SWF4KB4FU005497,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
556,Audi,A3,2016,"$16,950",White,2.0T Komfort,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"157,384",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
557,Toyota,Camry,2018,"$24,450",White,Other,Used,Sedan,Front-wheel drive (FWD),Automatic,Hybrid-Electric,"219,231",https://www.carproof.com/order?ref=kijiji&vin=4T1B31HK7JU504725,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
558,BMW,4-Series,2015,"$20,999",White,428i xDrive,Used,Hatchback,All-wheel drive (AWD),Automatic,Gasoline,"149,011",na,na
559,Honda,Civic,2016,"$15,950",Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"202,508",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
560,Infiniti,QX60,2015,"$17,350",Grey,Other,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"148,074",https://www.carproof.com/order?ref=kijiji&vin=5N1AL0MM4FC559093,na
561,Acura,MDX,2011,"$16,500",Gold,ELITE TECH SHAWD BT NAVI CAMERA LOW KMS 7 SEATS ...MINT,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"120,000",https://www.carproof.com/order?ref=kijiji&vin=2HNYD2H66BH005255,na
562,Volkswagen,Tiguan,2017,"$20,990",White,Wolfsburg Edition AWD | LEATHER | CAMERA |,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"108,846",https://www.carproof.com/order?ref=kijiji&vin=WVGNV7AXXHK026256,na
563,BMW,8-Series,2020,"$96,000",White,M850i xDrive Cabriolet | Executive Package | CPO,Used,Convertible,All-wheel drive (AWD),Automatic,Gasoline,"29,299",na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
564,Hyundai,Elantra,2017,"$16,990",White,GL AUT0 A/C H/SEATS CRUISE BLUETOOTH,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"97,718",https://www.carproof.com/order?ref=kijiji&vin=5NPD74LF5HH132836,"1235 Finch Ave. W., Toronto, ON, M3J 2G4"
565,BMW,5-Series,1984,"$8,250",na,na,Used,Sedan,na,na,na,"175,000",na,na
566,Tesla,Model S,2014,"$44,995",Silver,Performance 85| AUTOPILOT| SUMMON| FULLY LOADED| We Finance Any Credit,Used,Hatchback,Rear-wheel drive (RWD),Automatic,Other,"125,754",https://www.carproof.com/order?ref=kijiji&vin=5YJSA1H18EFP61182,na
567,Toyota,Highlander,2008,"$10,490",Black,4WD/7P/DVD/1 Owner/Alley Rims/Roof Rack/Fully Loaded,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"289,650",https://www.carproof.com/order?ref=kijiji&vin=JTEES41A782004542,na
568,Dodge,Magnum,2007,"$4,000",na,Rt,Used,Wagon,na,na,na,"270,000",na,"415 Kipling Ave, Toronto, M8V 3K8"
569,Nissan,Altima,2020,"$32,490",Blue,"Platinum AWD w/ Navi, 360 Cam, Bose Sound System",Used,Sedan,All-wheel drive (AWD),Automatic,Other,"23,476",na,na
570,Chrysler,Pacifica,2017,"$23,877",Silver,Touring-L,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,"125,255",na,na
571,Jeep,Cherokee,2022,"$40,986",Blue,Altitude,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"6,200",na,"898 Milner Avenue, Scarborough, ON, M1B 5N7"
572,Mercedes-Benz,Sprinter Van,2015,"$39,888",Blue,2500 - 170  - DIESEL,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Diesel,"149,100",https://www.carproof.com/order?ref=kijiji&vin=WD3BE8CC4FP168751,na
573,GMC,Sierra 1500,1998,$100,na,na,Used,Pickup Truck,na,na,na,"185,000",na,"Meadowvale Rd, Toronto, ON, M1C 1J9"
574,Ford,Other,2017,"$41,888",White,E-450 - 16Ft Box (84\ Inside) Gasoline + Pull Ramp,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"145,000",na,na
575,Ford,Escape,2013,"$10,495",Red,SE FWD,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Other,"156,299",https://www.carproof.com/order?ref=kijiji&vin=1FMCU0GX6DUD27517,na
576,Toyota,Sienna,2021,"$57,971",Silver,LE,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Hybrid-Electric,"23,491",https://www.carproof.com/order?ref=kijiji&vin=5TDGRKEC0MS074038,"395 Danforth Road, Toronto, ON, M1L 3X8"
577,Jaguar,XF,2011,"$7,900",na,na,Used,Sedan,na,na,na,"157,000",na,na
578,Volkswagen,Tiguan,2016,"$13,990",Black,2L TSI /No Accident/Backup Camera/Heat Seats/Fully Loaded,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"169,678",https://www.carproof.com/order?ref=kijiji&vin=WVGHV7AX5GW543095,na
579,Volkswagen,Jetta,2019,"$20,885",White,1.4 TSI Comfortline,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"92,184",na,na
580,Ford,F-150,2018,"$33,900",Black,XLT,Used,Other,4 x 4,na,Gasoline,"125,852",na,na
